What is the main research question of the project?,,"RDMO II baut auf den Ergebnissen des Vorgängerprojektes FDMP-Werkzeug (RDMO) auf, das mit dem Research Data Management Organiser (RDMO) ein Werkzeug zur Unterstützung des Forschungsdatenmanagements entwickelt hat. RDMO wird es Projekten ermöglichen, das Datenmanagement über den gesamten Projektverlauf - d.h. von der Antragstellung bis zum Ende - zu organisieren und nach Bedarf anzupassen. Zum Ende des Projektes FDMP-Werkzeug wurde eine Version veröffentlicht, die hierfür bereits ein Minimal-Set an Funktionalitäten enthält, das vor allem die Planung des Datenmanagements vor dem Projektstart unterstützt. Ziel von RDMO II ist es, das Werkzeug bis zum Erreichen des vollständig notwendigen Funktionsumfangs weiterzuentwickeln und bis zur Produktionsreife zu bringen, wobei der Fokus im beantragten Nachfolgeprojekt auf der Organisation und Umsetzung des Datenmanagements (v.a. der Aufgabenverwaltung) während des Projekts liegen wird. Darüber hinaus gehört zu den Zielen, die Integration in die lokale Infrastruktur in unterschiedlichen fachlichen und institutionellen Kontexten zu vereinfachen, die Anbindung an überregionale Infrastrukturelemente (z.B. re3data) zu ermöglichen sowie das Tool in der Community zu etablieren. Ein wichtiger Aspekt unter dem Gesichtspunkt der Nachhaltigkeit ist die Etablierung einer Community, die das Tool betreibt und auch nach Ende des Projektes RDMO II technisch wie auch konzeptionell (Anpassung des Fragenkataloges an unterschiedliche disziplinspezifische und institutionelle Kontexte) weiterentwickelt. Daraus ergeben sich eine Reihe von Teilforschungs- (& Entwicklungs)fragen: Welche Features und Funktionalitäten sind (sowohl insgesamt als auch für die einzelnen Stakeholder) notwendig, um das Planung, Organisation und Anpassung des Datenmanagements im gesamten Projektverlauf optimal zu unterstützen und wie lassen sich diese konzeptionell und technisch umsetzen? Welche Anforderungen in Bezug auf die Implementierung / Integration in lokale sowie überregionale Infrastrukturen gibt es und wie lassen sich diese konzeptionell und technisch umsetzen? Was sind geeignete Kommunikationsstrukturen, öffentlichkeitswirksame Maßnahmen sowie Schulungsmaßnahmen und -materialien, um das Tool einerseits in der Community zu etablieren, andererseits eine Community zur Sicherung der Nachhaltigkeit des Tools zu schaffen und wie lassen sie sich am effizientesten umsetzen."
Please give some keywords describing the research question.,,Forschungsdatenmanagement; Datenmanagement; Datenmanagementplan; active DMP; Werkzeug
To which discipline / disciplines is the project assigned?,,"Humanities and Social Sciences / Fine Arts, Music, Theatre and Media Studies; Life Sciences / Basic Biological and Medical Research; Natural Sciences / Astrophysics and Astronomy; Engineering Sciences / Computer Science"
When does the project start?,,2017-05-01
When does the project end?,,2019-10-31
Which persons or institutions are responsible for the project coordination?,,"Heike Neuroth, FH Potsdam; Harry Enke, AIP Potsdam"
Who is/are your project partner(s)?,"Project Partner ""AIP""",Leibniz-Institut für Astrophysik Potsdam (AIP)
Who is/are your project partner(s)?,"Project Partner ""FHP""","Fachhochschule Potsdam (FHP), Institut für Informationswissenschaften"
"Does your institution have rules or guidelines for the handling of research data collected in the project? If so, briefly outline them and refer to further information if necessary. Please also indicate how binding they are.","Project Partner ""AIP""",nein
"Does your institution have rules or guidelines for the handling of research data collected in the project? If so, briefly outline them and refer to further information if necessary. Please also indicate how binding they are.","Project Partner ""FHP""",nein
Who is the data management contact for this project partner?,"Project Partner ""AIP""",Harry Enke; Jochen Klar <jklar@aip.de>
Who is the data management contact for this project partner?,"Project Partner ""FHP""",Heike Neuroth
